address;netmask;comment;EA-Level1;EA-Level2;EA-Level3;EA-Site,,,,,,,,,,,,,,
10.6.4.216;255.255.255.248;;P&G;LA;MEXICO CITY - MEXICO CITY GENERAL OFFICE - 4397;4397,,,,,,,,,,,,,,
10.6.4.224;255.255.255.240;Vlan 860 Voice_Server;P&G;LA;MEXICO CITY - MEXICO CITY GENERAL OFFICE - 4397;4397,,,,,,,,,,,,,,
10.6.4.240;255.255.255.240;Vlan 64 TelePresence;P&G;LA;MEXICO CITY - MEXICO CITY GENERAL OFFICE - 4397;4397,,,,,,,,,,,,,,
10.6.5.0;255.255.255.0;RITM0512506,,,,,,,,,,,,,,
10.6.6.0;255.255.254.0;User Vlan 10 Wired Users;P&G;LA;MEXICO CITY - MEXICO CITY GENERAL OFFICE - 4397;4397,,,,,,,,,,,,,,
10.6.8.0;255.255.254.0;WLAN Vlan160 WLAN-AgileC0nnect2 / GoWireless;P&G;LA;MEXICO CITY - MEXICO CITY GENERAL OFFICE - 4397;4397,,,,,,,,,,,,,,
10.6.10.0;255.255.254.0;Vlan161 WLAN-AgileC0nnect2 / GoWireless;P&G;LA;MEXICO CITY - MEXICO CITY GENERAL OFFICE - 4397;4397,,,,,,,,,,,,,,
10.6.12.0;255.255.254.0;Vlan162 WLAN-AgileC0nnect2 / GoWireless;P&G;LA;MEXICO CITY - MEXICO CITY GENERAL OFFICE - 4397;4397,,,,,,,,,,,,,,
10.6.14.0;255.255.254.0;Vlan163 WLAN-AgileC0nnect2 / GoWireless;P&G;LA;MEXICO CITY - MEXICO CITY GENERAL OFFICE - 4397;4397,,,,,,,,,,,,,,
10.6.16.0;255.255.240.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.6.32.0;255.255.224.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.6.64.0;255.255.192.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.6.128.0;255.255.128.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.7.0.0;255.255.0.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.8.0.0;255.254.0.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.10.0.0;255.255.248.0;;P&G;DNS;DNS;,,,,,,,,,,,,,,
10.10.8.0;255.255.254.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.10.10.0;255.255.255.248;;P&G;EMEA;KRONBERG - KRONBERG PLANT - 7855;7855,,,,,,,,,,,,,,
10.10.10.8;255.255.255.248;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.10.10.16;255.255.255.240;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.10.10.32;255.255.255.224;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.10.10.64;255.255.255.192;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.10.10.128;255.255.255.128;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.10.11.0;255.255.255.0;;P&G;DNS;DNS;,,,,,,,,,,,,,,
10.10.12.0;255.255.252.0;;P&G;DNS;DNS;,,,,,,,,,,,,,,
10.10.16.0;255.255.240.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.10.32.0;255.255.224.0;;P&G;DNS;DNS;,,,,,,,,,,,,,,
10.10.64.0;255.255.192.0;;P&G;DNS;DNS;,,,,,,,,,,,,,,
10.10.128.0;255.255.128.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.11.0.0;255.255.0.0;;P&G;EMEA;KRONBERG - KRONBERG PLANT - 7855;7855,,,,,,,,,,,,,,
10.12.0.0;255.252.0.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.16.0.0;255.248.0.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.24.0.0;255.252.0.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.28.0.0;255.254.0.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.30.0.0;255.255.252.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.30.4.0;255.255.255.0;;P&G;EMEA;KRONBERG - KRONBERG PLANT - 7855;7855,,,,,,,,,,,,,,
10.30.5.0;255.255.255.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.30.6.0;255.255.254.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.30.8.0;255.255.255.0;;P&G;EMEA;KRONBERG - KRONBERG PLANT - 7855;7855,,,,,,,,,,,,,,
10.30.9.0;255.255.255.0;;P&G;EMEA;KRONBERG - KRONBERG PLANT - 7855;7855,,,,,,,,,,,,,,
10.30.10.0;255.255.254.0;;P&G;DNS;DNS;,,,,,,,,,,,,,,
10.30.12.0;255.255.252.0;;P&G;DNS;DNS;,,,,,,,,,,,,,,
10.30.16.0;255.255.254.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.30.18.0;255.255.255.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.30.19.0;255.255.255.0;;P&G;EMEA;KRONBERG - KRONBERG PLANT - 7855;7855,,,,,,,,,,,,,,
10.30.20.0;255.255.252.0;;P&G;DNS;DNS;,,,,,,,,,,,,,,
10.30.24.0;255.255.252.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.30.28.0;255.255.255.0;;P&G;AP;SHANGHAI - SHANGHAI OFC - WELLA - 7337;7337,,,,,,,,,,,,,,
10.30.29.0;255.255.255.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.30.30.0;255.255.254.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.30.32.0;255.255.224.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.30.64.0;255.255.192.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.30.128.0;255.255.128.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.31.0.0;255.255.0.0;;P&G;EMEA;HUENFELD - HUNFELD PLANT - 7043 (Coty-Owned);7043,,,,,,,,,,,,,,
10.32.0.0;255.254.0.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.34.0.0;255.255.0.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.35.0.0;255.255.0.0;;P&G;EMEA;STEINBERG - LONDA ROTHENKIRCHEN - 7038 (Coty-Owned);7038,,,,,,,,,,,,,,
10.36.0.0;255.252.0.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.40.0.0;255.248.0.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.48.0.0;255.255.0.0;;P&G;EMEA;LEIPZIG - LEIPZIG OFC - LONDA - 7459 (Coty-Owned);7459,,,,,,,,,,,,,,
10.49.0.0;255.255.0.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.50.0.0;255.255.0.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.51.0.0;255.255.255.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.51.1.0;255.255.255.0;;P&G;AP;SHINJUKU-KU - NISHI-SHINJUKU SALES OFFICE - 7678;7678,,,,,,,,,,,,,,
10.51.2.0;255.255.254.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.51.4.0;255.255.252.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.51.8.0;255.255.248.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.51.16.0;255.255.240.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.51.32.0;255.255.224.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.51.64.0;255.255.192.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.51.128.0;255.255.128.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.52.0.0;255.252.0.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.56.0.0;255.254.0.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.58.0.0;255.255.252.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.58.4.0;255.255.255.0;;P&G;EMEA;PARIS - PARIS STUDIO - WELLA - 7449;7449,,,,,,,,,,,,,,
10.58.5.0;255.255.255.0;;P&G;EMEA;GARGENVILLE - WELLA GARGENVILLE - 9910;9910,,,,,,,,,,,,,,
10.58.6.0;255.255.254.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.58.8.0;255.255.248.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.58.16.0;255.255.240.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.58.32.0;255.255.224.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.58.64.0;255.255.192.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.58.128.0;255.255.128.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.59.0.0;255.255.0.0;;P&G;DNS;DNS;,,,,,,,,,,,,,,
10.60.0.0;255.252.0.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.64.0.0;255.255.240.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.64.16.0;255.255.254.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.64.18.0;255.255.255.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.64.19.0;255.255.255.255;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.64.19.1;255.255.255.255;;P&G;NA;BT Interconnect - Cincinnati - CBTS Data Center - BT614;BT614,,,,,,,,,,,,,,
10.64.19.2;255.255.255.254;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.64.19.4;255.255.255.252;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.64.19.8;255.255.255.248;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.64.19.16;255.255.255.240;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.64.19.32;255.255.255.224;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.64.19.64;255.255.255.192;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.64.19.128;255.255.255.128;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.64.20.0;255.255.252.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.64.24.0;255.255.248.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.64.32.0;255.255.224.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.64.64.0;255.255.192.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.64.128.0;255.255.128.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.65.0.0;255.255.0.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.66.0.0;255.254.0.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.68.0.0;255.255.0.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.69.0.0;255.255.0.0;;P&G;EMEA;CASTIGLIONE DELLE STIVIERE - ITALY GO - WELLA - 7471;7471,,,,,,,,,,,,,,
10.70.0.0;255.254.0.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.72.0.0;255.248.0.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.80.0.0;255.252.0.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.84.0.0;255.255.0.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.85.0.0;255.255.128.0;;P&G;EMEA;BUCHAREST - BUCHAREST GO - WELLA - 7305;7305,,,,,,,,,,,,,,
10.85.128.0;255.255.128.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.86.0.0;255.254.0.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.88.0.0;255.254.0.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.90.0.0;255.255.0.0;;P&G;EMEA;ST PETERSBURG - ST PETERSBURG STUDIO - WELLA - 7317;7317,,,,,,,,,,,,,,
10.91.0.0;255.255.128.0;;P&G;EMEA;ALLSCHWIL - ALLSCWHIL W F MAIN OFC - WELLA - 7512 (Coty-Owned);7512,,,,,,,,,,,,,,
10.91.128.0;255.255.128.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.92.0.0;255.254.0.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.94.0.0;255.255.0.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.95.0.0;255.255.0.0;;P&G;EMEA;SARREGUEMINES - SARREGUEMINES PLANT - ONDAL - 7044;7044,,,,,,,,,,,,,,
10.96.0.0;11;;;;RITM0461321  RITM0473070;,,,,,,,,,,,,,,
10.96.0.0;16;;;;N/A;,,,,,,,,,,,,,,
10.96.0.0;20;;;Azure;N/A;,,,,,,,,,,,,,,
10.98.0.0;16;;;Google;NA;,,,,,,,,,,,,,,
10.99.0.0;16;;;Cloud;RITM0461321;,,,,,,,,,,,,,,
10.100.0.0;255.255.255.0;;P&G;EMEA;KRONBERG - KRONBERG PLANT - 7855;7855,,,,,,,,,,,,,,
10.100.0.0;16;;;;;,,,,,,,,,,,,,,
10.100.1.0;255.255.255.0;;P&G;EMEA;KRONBERG - KRONBERG PLANT - 7855;7855,,,,,,,,,,,,,,
10.100.2.0;255.255.255.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.100.3.0;255.255.255.0;;P&G;EMEA;KRONBERG - KRONBERG PLANT - 7855;7855,,,,,,,,,,,,,,
10.100.4.0;255.255.254.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.100.6.0;255.255.255.0;;P&G;EMEA;KRONBERG - KRONBERG PLANT - 7855;7855,,,,,,,,,,,,,,
10.100.7.0;255.255.255.0;;P&G;EMEA;KRONBERG - KRONBERG PLANT - 7855;7855,,,,,,,,,,,,,,
10.100.8.0;255.255.255.0;;P&G;EMEA;KRONBERG - KRONBERG PLANT - 7855;7855,,,,,,,,,,,,,,
10.100.9.0;255.255.255.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.100.10.0;255.255.254.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.100.12.0;255.255.252.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.100.16.0;255.255.248.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.100.24.0;255.255.255.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.100.25.0;255.255.255.0;;P&G;EMEA;KRONBERG - KRONBERG PLANT - 7855;7855,,,,,,,,,,,,,,
10.100.26.0;255.255.254.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.100.28.0;255.255.254.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.100.30.0;255.255.255.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.100.31.0;255.255.255.0;;P&G;EMEA;KRONBERG - KRONBERG PLANT - 7855;7855,,,,,,,,,,,,,,
10.100.32.0;255.255.248.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.100.40.0;255.255.252.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.100.44.0;255.255.254.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.100.46.0;255.255.255.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.100.47.0;255.255.255.0;;P&G;EMEA;KRONBERG - KRONBERG PLANT - 7855;7855,,,,,,,,,,,,,,
10.100.48.0;255.255.255.0;;P&G;EMEA;KRONBERG - KRONBERG PLANT - 7855;7855,,,,,,,,,,,,,,
10.100.49.0;255.255.255.0;;P&G;EMEA;KRONBERG - KRONBERG PLANT - 7855;7855,,,,,,,,,,,,,,
10.100.50.0;255.255.255.0;;P&G;EMEA;KRONBERG - KRONBERG PLANT - 7855;7855,,,,,,,,,,,,,,
10.100.51.0;255.255.255.0;;P&G;EMEA;KRONBERG - KRONBERG PLANT - 7855;7855,,,,,,,,,,,,,,
10.100.52.0;255.255.255.0;;P&G;EMEA;KRONBERG - KRONBERG PLANT - 7855;7855,,,,,,,,,,,,,,
10.100.53.0;255.255.255.0;;P&G;EMEA;KRONBERG - KRONBERG PLANT - 7855;7855,,,,,,,,,,,,,,
10.100.54.0;255.255.255.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.100.55.0;255.255.255.0;;P&G;EMEA;KRONBERG - KRONBERG PLANT - 7855;7855,,,,,,,,,,,,,,
10.100.56.0;255.255.255.0;;P&G;EMEA;KRONBERG - KRONBERG PLANT - 7855;7855,,,,,,,,,,,,,,
10.100.57.0;255.255.255.0;;P&G;EMEA;KRONBERG - KRONBERG PLANT - 7855;7855,,,,,,,,,,,,,,
10.100.58.0;255.255.255.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.100.59.0;255.255.255.0;;P&G;EMEA;KRONBERG - KRONBERG PLANT - 7855;7855,,,,,,,,,,,,,,
10.100.60.0;255.255.254.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.100.62.0;255.255.255.0;;P&G;EMEA;KRONBERG - KRONBERG PLANT - 7855;7855,,,,,,,,,,,,,,
10.100.63.0;255.255.255.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.100.64.0;255.255.254.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.100.66.0;255.255.255.0;;P&G;EMEA;KRONBERG - KRONBERG PLANT - 7855;7855,,,,,,,,,,,,,,
10.100.67.0;255.255.255.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.100.68.0;255.255.252.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.100.72.0;255.255.248.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.100.80.0;255.255.240.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.100.96.0;255.255.248.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.100.104.0;255.255.254.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.100.106.0;255.255.255.0;;P&G;EMEA;KRONBERG - KRONBERG PLANT - 7855;7855,,,,,,,,,,,,,,
10.100.107.0;255.255.255.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.100.108.0;255.255.252.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.100.112.0;255.255.240.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.100.128.0;255.255.128.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.104.0.0;255.255.0.0;RITM0367626 - Consumer Cloud NA PROD;P&G;Cloud Services;Cloud Services;,,,,,,,,,,,,,,
10.105.0.0;255.255.0.0;RITM0367626 - Consumer Cloud NA PROD Future use;P&G;Cloud Services;Cloud Services;,,,,,,,,,,,,,,
10.106.0.0;255.255.0.0;RITM0367626 - Consumer Cloud NA NON PROD;P&G;Cloud Services;Cloud Services;,,,,,,,,,,,,,,
10.107.0.0;255.255.0.0;RITM0367626 - Consumer Cloud NA NON PROD Future use;P&G;Cloud Services;Cloud Services;,,,,,,,,,,,,,,
10.108.0.0;255.255.0.0;RITM0367626 - Consumer Cloud AP PROD;P&G;Cloud Services;Cloud Services;,,,,,,,,,,,,,,
10.109.0.0;255.255.0.0;RITM0367626 - Consumer Cloud AP NON PROD;P&G;Cloud Services;Cloud Services;,,,,,,,,,,,,,,
10.110.0.0;255.255.0.0;RITM0367626 - Consumer Cloud EU PROD Future use;P&G;Cloud Services;Cloud Services;,,,,,,,,,,,,,,
10.111.0.0;255.255.0.0;RITM0367626 - Consumer Cloud EU NON PROD Future use;P&G;Cloud Services;Cloud Services;,,,,,,,,,,,,,,
10.112.0.0;255.255.0.0;Amazon-AWS-SHE NA PROD;P&G;Cloud Services;Amazon-AWS-SHE;,,,,,,,,,,,,,,
10.113.0.0;255.255.0.0;Amazon-AWS-SHE NA NON PROD;P&G;Cloud Services;Amazon-AWS-SHE;,,,,,,,,,,,,,,
10.114.0.0;255.255.0.0;Microsoft-Azure-SHE NA PROD;P&G;Cloud Services;Microsoft-Azure-SHE;,,,,,,,,,,,,,,
10.115.0.0;255.255.0.0;Microsoft-Azure-SHE NON PROD;P&G;Cloud Services;Microsoft-Azure-SHE;,,,,,,,,,,,,,,
10.116.0.0;255.255.128.0;Amazon-AWS-SHE NA DR;P&G;Cloud Services;Amazon-AWS-SHE;,,,,,,,,,,,,,,
10.116.128.0;255.255.128.0;Microsoft-Azure-SHE NA DR;P&G;Cloud Services;Microsoft-Azure-SHE;,,,,,,,,,,,,,,
10.117.0.0;255.255.255.224;Microsoft-Azure-ExpRGW-Enterprise-non-Prod-01;P&G;Cloud Services;Microsoft-Azure;,,,,,,,,,,,,,,
10.117.0.0;16;;RITM0151326;Cloud;NA;,,,,,,,,,,,,,,
10.117.0.0;18;;RITM0151326;;;,,,,,,,,,,,,,,
10.117.0.32;255.255.255.224;Microsoft-Azure-ExpRGW-Enterprise-DR-01;P&G;Cloud Services;Microsoft-Azure;,,,,,,,,,,,,,,
10.117.0.64;255.255.255.224;Microsoft-Azure-ExpRGW-Enterprise-Prod-02;P&G;Cloud Services;Microsoft-Azure;,,,,,,,,,,,,,,
10.117.0.96;255.255.255.224;Microsoft-Azure-ExpRGW-Enterprise-non-Prod-02;P&G;Cloud Services;Microsoft-Azure;,,,,,,,,,,,,,,
